year,rank,restaurant,location,country,lat,lng,Cuisine,Description
2002,30,Le Jardin des Sens,Montpellier,France,43.6108535,3.8761323,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in Montpellier, France."
2002,31,River Café,London,United Kingdom,51.5072178,-0.1275862,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in London, United Kingdom."
2002,32,Kronenhalle,Zürich,Switzerland,47.3768866,8.541694,International / Fusion,"A distinguished restaurant offering international / fusion cuisine, known for its quality and culinary creativity in Zürich, Switzerland."
2002,33,Il Pescatore,Orlando,United States,28.5383832,-81.3789269,Contemporary American,"A distinguished restaurant offering contemporary american cuisine, known for its quality and culinary creativity in Orlando, United States."
2002,34,Nepenthe,Big Sur,United States,36.2704233,-121.8080556,Contemporary American,"A distinguished restaurant offering contemporary american cuisine, known for its quality and culinary creativity in Big Sur, United States."
2002,35,The Spa,Lamai Beach,Thailand,9.4618256,100.0446198,Thai,"A distinguished restaurant offering thai cuisine, known for its quality and culinary creativity in Lamai Beach, Thailand."
2002,36,Hotel de Paris,Monaco,Monaco,43.7384176,7.42461579,International / Fusion,"A distinguished restaurant offering international / fusion cuisine, known for its quality and culinary creativity in Monaco, Monaco."
2002,37,Moulin de Mougin,Mougins,France,43.6023319,7.006491,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in Mougins, France."
2002,38,Ginza Sushiko,Beverly Hills,United States,34.0736204,-118.4003563,Contemporary American,"A distinguished restaurant offering contemporary american cuisine, known for its quality and culinary creativity in Beverly Hills, United States."
2002,39,Changa,Istanbul,Türkiye,41.0082376,28.9783589,International / Fusion,"A distinguished restaurant offering international / fusion cuisine, known for its quality and culinary creativity in Istanbul, Türkiye."
2002,40,Michel Bras,Laguiole,France,44.683579,2.845605,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in Laguiole, France."
2002,41,Le Quartier Français,Franschhoek,South Africa,-33.9127211,19.1212795,South African / Fusion,"A distinguished restaurant offering south african / fusion cuisine, known for its quality and culinary creativity in Franschhoek, South Africa."
2002,42,Roundwood House,County Laois,Ireland,52.994295,-7.33230069,International / Fusion,"A distinguished restaurant offering international / fusion cuisine, known for its quality and culinary creativity in County Laois, Ireland."
2002,43,The Supper Club,Amsterdam,Netherlands,52.3675734,4.9041389,Modern Dutch / European,"A distinguished restaurant offering modern dutch / european cuisine, known for its quality and culinary creativity in Amsterdam, Netherlands."
2002,44,Blue Lagoon,Grindavik,Iceland,63.8433896,-22.4359996,International / Fusion,"A distinguished restaurant offering international / fusion cuisine, known for its quality and culinary creativity in Grindavik, Iceland."
2002,45,Bayona,New Orleans,United States,29.9508941,-90.0758355,Contemporary American,"A distinguished restaurant offering contemporary american cuisine, known for its quality and culinary creativity in New Orleans, United States."
2002,46,The Grundel,Budapest,Hungary,47.498382,19.040471,International / Fusion,"A distinguished restaurant offering international / fusion cuisine, known for its quality and culinary creativity in Budapest, Hungary."
2002,47,Carnivore,Nairobi,Kenya,-1.2920659,36.8219462,International / Fusion,"A distinguished restaurant offering international / fusion cuisine, known for its quality and culinary creativity in Nairobi, Kenya."
2002,48,Bagatelle,Oslo,Norway,59.9138688,10.7522454,New Nordic,"A distinguished restaurant offering new nordic cuisine, known for its quality and culinary creativity in Oslo, Norway."
2002,49,Susar,Toronto,Canada,43.653226,-79.3831843,Contemporary Canadian,"A distinguished restaurant offering contemporary canadian cuisine, known for its quality and culinary creativity in Toronto, Canada."
2002,50,Tantris,München,Germany,48.1351253,11.5819806,Modern German / European,"A distinguished restaurant offering modern german / european cuisine, known for its quality and culinary creativity in München, Germany."
2003,1,The French Laundry,Yountville,United States,38.401578,-122.3608105,French / Contemporary American,"Renowned for its refined French cuisine and seasonal tasting menus, The French Laundry is a hallmark of American fine dining."
2003,2,El Bulli,Roses,Spain,42.2639489,3.1795528,Modernist / Molecular Gastronomy,"Pioneering molecular gastronomy, El Bulli was famed for its innovative techniques and multi-sensory dining experience led by chef Ferran Adrià."
2003,3,Le Louis XV,Monaco,Monaco,43.7384176,7.42461579,International / Fusion,"A distinguished restaurant offering international / fusion cuisine, known for its quality and culinary creativity in Monaco, Monaco."
2003,4,Jean Georges,New York,United States,40.7127753,-74.0059728,Contemporary American,"A distinguished restaurant offering contemporary american cuisine, known for its quality and culinary creativity in New York, United States."
2003,5,Restaurant Gordon Ramsay,London,United Kingdom,51.5072178,-0.1275862,French / Modern European,"A fine-dining institution in London offering classic French cuisine with modern precision, helmed by celebrity chef Gordon Ramsay."
2003,6,Arpège,Paris,France,48.8575475,2.3513765,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in Paris, France."
2003,7,Comme Chez Soi,Brussels,Belgium,50.8476424,4.3571696,Belgian / French,"A distinguished restaurant offering belgian / french cuisine, known for its quality and culinary creativity in Brussels, Belgium."
2003,8,Rockpool,Sydney,Australia,-33.8688197,151.2092955,Modern Australian / Asian Fusion,"Blending Australian ingredients with Asian flavors, Rockpool became a staple of Sydney’s high-end dining scene."
2003,9,L'Ambroisie,Paris,France,48.8575475,2.3513765,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in Paris, France."
2003,10,Gramercy Tavern,New York,United States,40.7127753,-74.0059728,Contemporary American,"A distinguished restaurant offering contemporary american cuisine, known for its quality and culinary creativity in New York, United States."
2003,11,Michel Bras,Laguiole,France,44.683579,2.845605,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in Laguiole, France."
2003,12,Chez Panisse,Berkeley,United States,37.8715226,-122.273042,Contemporary American,"A distinguished restaurant offering contemporary american cuisine, known for its quality and culinary creativity in Berkeley, United States."
2003,13,Pierre Gagnaire,Paris,France,48.8575475,2.3513765,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in Paris, France."
2003,14,The Merchant House,London,United Kingdom,51.5072178,-0.1275862,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in London, United Kingdom."
2003,15,Bocca,Tallinn,Estonia,59.4369607,24.7535746,International / Fusion,"A distinguished restaurant offering international / fusion cuisine, known for its quality and culinary creativity in Tallinn, Estonia."
2003,16,Sukiyabashi Jiro,Tokyo,Japan,35.6764225,139.650027,Japanese,"A distinguished restaurant offering japanese cuisine, known for its quality and culinary creativity in Tokyo, Japan."
2003,17,Felix,Hong Kong,Hong Kong,22.3193039,114.1693611,International / Fusion,"A distinguished restaurant offering international / fusion cuisine, known for its quality and culinary creativity in Hong Kong, Hong Kong."
2003,18,L'Auberge de l'Ill,Illhaeusern,France,48.184834,7.43380399,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in Illhaeusern, France."
2003,19,Gidleigh Park,Changford,United Kingdom,50.673066,-3.840265,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in Changford, United Kingdom."
2003,20,Bukhara,New Delhi,India,28.6139298,77.2088282,Indian,"A distinguished restaurant offering indian cuisine, known for its quality and culinary creativity in New Delhi, India."
2003,21,Paul Boscoe,France,France,46.227638,2.213749,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in France, France."
2003,22,De Karmeliet,Bruges,Belgium,51.2093707,3.2247548,Belgian / French,"A distinguished restaurant offering belgian / french cuisine, known for its quality and culinary creativity in Bruges, Belgium."
2003,23,Al Mahara,Dubai,United Arab Emirates,25.2048493,55.2707828,International / Fusion,"A distinguished restaurant offering international / fusion cuisine, known for its quality and culinary creativity in Dubai, United Arab Emirates."
2003,24,Vincent Guerithault on Camelback,Phoenix,United States,33.4483771,-112.0740373,Contemporary American,"A distinguished restaurant offering contemporary american cuisine, known for its quality and culinary creativity in Phoenix, United States."
2003,25,Thorton's,Dublin,Ireland,53.3498053,-6.2603097,International / Fusion,"A distinguished restaurant offering international / fusion cuisine, known for its quality and culinary creativity in Dublin, Ireland."
2003,26,Nobu,London,United Kingdom,51.5072178,-0.1275862,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in London, United Kingdom."
2003,27,Operakällaren,Stockholm,Sweden,59.3293234,18.0685808,New Nordic,"A distinguished restaurant offering new nordic cuisine, known for its quality and culinary creativity in Stockholm, Sweden."
2003,28,Eigensinn Farm,Singhampton,Canada,44.350193,-80.248215,Contemporary Canadian,"A distinguished restaurant offering contemporary canadian cuisine, known for its quality and culinary creativity in Singhampton, Canada."
2003,29,Le Manoir aux Quat'Saison,Oxford,United Kingdom,51.7520209,-1.2577263,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in Oxford, United Kingdom."
2003,30,Guy Savoy,Paris,France,48.8575475,2.3513765,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in Paris, France."
2003,31,The Ivy,London,United Kingdom,51.5072178,-0.1275862,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in London, United Kingdom."
2003,32,The Three Chimneys,Isle of Skye,United Kingdom,57.2736278,-6.2155022,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in Isle of Skye, United Kingdom."
2003,33,Petrus,London,United Kingdom,51.5072178,-0.1275862,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in London, United Kingdom."
2003,34,Daniel,New York,United States,40.7127753,-74.0059728,Contemporary American,"A distinguished restaurant offering contemporary american cuisine, known for its quality and culinary creativity in New York, United States."
2003,35,Dal Pescatore,Canneto sull'Oglio,Italy,45.1515537,10.3828899,Italian,"A distinguished restaurant offering italian cuisine, known for its quality and culinary creativity in Canneto sull'Oglio, Italy."
2003,36,Bagatelle,Oslo,Norway,59.9138688,10.7522454,New Nordic,"A distinguished restaurant offering new nordic cuisine, known for its quality and culinary creativity in Oslo, Norway."
2003,37,Tetsuya's,Sydney,Australia,-33.8688197,151.2092955,Modern Australian,"A distinguished restaurant offering modern australian cuisine, known for its quality and culinary creativity in Sydney, Australia."
2003,38,Quattro Passi,Massa Lubrense,Italy,40.6108903,14.3449936,Italian,"A distinguished restaurant offering italian cuisine, known for its quality and culinary creativity in Massa Lubrense, Italy."
2003,39,Charlie Trotter's,Chicago,United States,41.8781136,-87.6297982,Contemporary American,"A distinguished restaurant offering contemporary american cuisine, known for its quality and culinary creativity in Chicago, United States."
2003,40,Arzak,San Sebastian,Spain,43.318237,-1.9817051,Spanish,"A distinguished restaurant offering spanish cuisine, known for its quality and culinary creativity in San Sebastian, Spain."
2003,41,Flower Drum,Melbourne,Australia,-37.8136276,144.9630576,Modern Australian,"A distinguished restaurant offering modern australian cuisine, known for its quality and culinary creativity in Melbourne, Australia."
2003,42,The Cliff,Durants,Barbados,13.1580476,-59.6326696,International / Fusion,"A distinguished restaurant offering international / fusion cuisine, known for its quality and culinary creativity in Durants, Barbados."
2003,43,The Square,London,United Kingdom,51.5072178,-0.1275862,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in London, United Kingdom."
2003,44,Enoteca Pinchiorri,Florence,Italy,43.7699685,11.2576706,Italian,"A distinguished restaurant offering italian cuisine, known for its quality and culinary creativity in Florence, Italy."
2003,45,1884,Godoy Cruz,Argentina,-32.9286268,-68.8583963,Argentinian,"A distinguished restaurant offering argentinian cuisine, known for its quality and culinary creativity in Godoy Cruz, Argentina."
2003,46,Checchino Dal 1887,Rome,Italy,41.8967068,12.4822025,Italian,"A distinguished restaurant offering italian cuisine, known for its quality and culinary creativity in Rome, Italy."
2003,47,River Café,London,United Kingdom,51.5072178,-0.1275862,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in London, United Kingdom."
2003,48,New York Grill,Tokyo,Japan,35.6764225,139.650027,Japanese,"A distinguished restaurant offering japanese cuisine, known for its quality and culinary creativity in Tokyo, Japan."
2003,49,St John,London,United Kingdom,51.5072178,-0.1275862,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in London, United Kingdom."
2003,50,Carnivore,Nairobi,Kenya,-1.2920659,36.8219462,International / Fusion,"A distinguished restaurant offering international / fusion cuisine, known for its quality and culinary creativity in Nairobi, Kenya."
2004,1,The French Laundry,Yountville,United States,38.401578,-122.3608105,French / Contemporary American,"Renowned for its refined French cuisine and seasonal tasting menus, The French Laundry is a hallmark of American fine dining."
2004,2,The Fat Duck,Maidenhead,United Kingdom,51.5225605,-0.7243082,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in Maidenhead, United Kingdom."
2004,3,El Bulli,Roses,Spain,42.2639489,3.1795528,Modernist / Molecular Gastronomy,"Pioneering molecular gastronomy, El Bulli was famed for its innovative techniques and multi-sensory dining experience led by chef Ferran Adrià."
2004,4,L'Atelier Saint Germain De Joël Robuchon,Paris,France,48.8575475,2.3513765,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in Paris, France."
2004,5,Pierre Gagnaire,Paris,France,48.8575475,2.3513765,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in Paris, France."
2004,6,Guy Savoy,Paris,France,48.8575475,2.3513765,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in Paris, France."
2004,7,Nobu,London,United Kingdom,51.5072178,-0.1275862,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in London, United Kingdom."
2004,8,Restaurant Gordon Ramsay,London,United Kingdom,51.5072178,-0.1275862,French / Modern European,"A fine-dining institution in London offering classic French cuisine with modern precision, helmed by celebrity chef Gordon Ramsay."
2004,9,Bras,Laguiole,France,44.683579,2.845605,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in Laguiole, France."
2004,10,Le Louis XV,Monaco,Monaco,43.7384176,7.42461579,International / Fusion,"A distinguished restaurant offering international / fusion cuisine, known for its quality and culinary creativity in Monaco, Monaco."
2004,11,Gramercy Tavern,New York,United States,40.7127753,-74.0059728,Contemporary American,"A distinguished restaurant offering contemporary american cuisine, known for its quality and culinary creativity in New York, United States."
2004,12,Daniel,New York,United States,40.7127753,-74.0059728,Contemporary American,"A distinguished restaurant offering contemporary american cuisine, known for its quality and culinary creativity in New York, United States."
2004,13,Tetsuya's,Sydney,Australia,-33.8688197,151.2092955,Modern Australian,"A distinguished restaurant offering modern australian cuisine, known for its quality and culinary creativity in Sydney, Australia."
2004,14,Hakkasan,London,United Kingdom,51.5072178,-0.1275862,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in London, United Kingdom."
2004,15,The Waterside Inn,London,United Kingdom,51.5072178,-0.1275862,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in London, United Kingdom."
2004,16,St John,London,United Kingdom,51.5072178,-0.1275862,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in London, United Kingdom."
2004,17,L'Ami Louis,Paris,France,48.8575475,2.3513765,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in Paris, France."
2004,18,Jean Georges,New York,United States,40.7127753,-74.0059728,Contemporary American,"A distinguished restaurant offering contemporary american cuisine, known for its quality and culinary creativity in New York, United States."
2004,19,Le Gavroche,London,United Kingdom,51.5072178,-0.1275862,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in London, United Kingdom."
2004,20,Flower Drum,Melbourne,Australia,-37.8136276,144.9630576,Modern Australian,"A distinguished restaurant offering modern australian cuisine, known for its quality and culinary creativity in Melbourne, Australia."
2004,21,The Merchant House,London,United Kingdom,51.5072178,-0.1275862,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in London, United Kingdom."
2004,22,Arzak,San Sebastian,Spain,43.318237,-1.9817051,Spanish,"A distinguished restaurant offering spanish cuisine, known for its quality and culinary creativity in San Sebastian, Spain."
2004,23,Dal Pescatore,Canneto sull'Oglio,Italy,45.1515537,10.3828899,Italian,"A distinguished restaurant offering italian cuisine, known for its quality and culinary creativity in Canneto sull'Oglio, Italy."
2004,24,The Ivy,London,United Kingdom,51.5072178,-0.1275862,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in London, United Kingdom."
2004,25,Arpège,Paris,France,48.8575475,2.3513765,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in Paris, France."
2004,26,Can Fabes,Barcelona,Spain,41.3873974,2.168568,Spanish,"A distinguished restaurant offering spanish cuisine, known for its quality and culinary creativity in Barcelona, Spain."
2004,27,Die Schwarzaldstube,Baiersbronn,Germany,48.5089458,8.3706727,Modern German / European,"A distinguished restaurant offering modern german / european cuisine, known for its quality and culinary creativity in Baiersbronn, Germany."
2004,28,The Cliff,Durants,Barbados,13.1580476,-59.6326696,International / Fusion,"A distinguished restaurant offering international / fusion cuisine, known for its quality and culinary creativity in Durants, Barbados."
2004,29,Rockpool,Sydney,Australia,-33.8688197,151.2092955,Modern Australian / Asian Fusion,"Blending Australian ingredients with Asian flavors, Rockpool became a staple of Sydney’s high-end dining scene."
2004,30,Le Manoir aux Quat'Saisons,Oxford,United Kingdom,51.7520209,-1.2577263,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in Oxford, United Kingdom."
2004,31,Al Mahara,Dubai,United Arab Emirates,25.2048493,55.2707828,International / Fusion,"A distinguished restaurant offering international / fusion cuisine, known for its quality and culinary creativity in Dubai, United Arab Emirates."
2004,32,Charlie Trotter's,Chicago,United States,41.8781136,-87.6297982,Contemporary American,"A distinguished restaurant offering contemporary american cuisine, known for its quality and culinary creativity in Chicago, United States."
2004,33,Le Jardin des Sens,Montpellier,France,43.6108535,3.8761323,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in Montpellier, France."
2004,34,The Square,London,United Kingdom,51.5072178,-0.1275862,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in London, United Kingdom."
2004,35,Spago,Beverly Hills,United States,34.0736204,-118.4003563,Contemporary American,"A distinguished restaurant offering contemporary american cuisine, known for its quality and culinary creativity in Beverly Hills, United States."
2004,36,Bukhara,New Delhi,India,28.6139298,77.2088282,Indian,"A distinguished restaurant offering indian cuisine, known for its quality and culinary creativity in New Delhi, India."
2004,37,Chez Panisse,Berkeley,United States,37.8715226,-122.273042,Contemporary American,"A distinguished restaurant offering contemporary american cuisine, known for its quality and culinary creativity in Berkeley, United States."
2004,38,Le Meurice,Paris,France,48.8575475,2.3513765,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in Paris, France."
2004,39,Troisgros,Ouches,France,46.014944,3.986587,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in Ouches, France."
2004,40,Balthazar,New York,United States,40.7127753,-74.0059728,Contemporary American,"A distinguished restaurant offering contemporary american cuisine, known for its quality and culinary creativity in New York, United States."
2004,41,River Café,London,United Kingdom,51.5072178,-0.1275862,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in London, United Kingdom."
2004,42,La Tupina,Bordeaux,France,44.8416106,-0.5810938,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in Bordeaux, France."
2004,43,L'Auberge de l'Ill,Illhaeusern,France,48.184834,7.43380399,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in Illhaeusern, France."
2004,44,Craft,New York,United States,40.7127753,-74.0059728,Contemporary American,"A distinguished restaurant offering contemporary american cuisine, known for its quality and culinary creativity in New York, United States."
2004,45,La Tour D'Argent,Paris,France,48.8575475,2.3513765,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in Paris, France."
2004,46,Le Maison de Marc Veyrat,Manigod,France,45.861224,6.36913699,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in Manigod, France."
2004,47,Felix,Hong Kong,Hong Kong,22.3193039,114.1693611,International / Fusion,"A distinguished restaurant offering international / fusion cuisine, known for its quality and culinary creativity in Hong Kong, Hong Kong."
2004,48,De Karmeliet,Bruges,Belgium,51.2093707,3.2247548,Belgian / French,"A distinguished restaurant offering belgian / french cuisine, known for its quality and culinary creativity in Bruges, Belgium."
2004,49,The Wolseley,London,United Kingdom,51.5072178,-0.1275862,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in London, United Kingdom."
2004,50,Gambero Roso,Vernazza,Italy,44.1353502,9.6827957,Italian,"A distinguished restaurant offering italian cuisine, known for its quality and culinary creativity in Vernazza, Italy."
2005,1,The Fat Duck,Maidenhead,United Kingdom,51.5225605,-0.7243082,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in Maidenhead, United Kingdom."
2005,2,El Bulli,Roses,Spain,42.2639489,3.1795528,Modernist / Molecular Gastronomy,"Pioneering molecular gastronomy, El Bulli was famed for its innovative techniques and multi-sensory dining experience led by chef Ferran Adrià."
2005,3,The French Laundry,Yountville,United States,38.401578,-122.3608105,French / Contemporary American,"Renowned for its refined French cuisine and seasonal tasting menus, The French Laundry is a hallmark of American fine dining."
2005,4,Tetsuya's,Sydney,Australia,-33.8688197,151.2092955,Modern Australian,"A distinguished restaurant offering modern australian cuisine, known for its quality and culinary creativity in Sydney, Australia."
2005,5,Restaurant Gordon Ramsay,London,United Kingdom,51.5072178,-0.1275862,French / Modern European,"A fine-dining institution in London offering classic French cuisine with modern precision, helmed by celebrity chef Gordon Ramsay."
2005,6,Pierre Gagnaire,Paris,France,48.8575475,2.3513765,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in Paris, France."
2005,7,Per Se,New York,United States,40.7127753,-74.0059728,French / Contemporary American,"Per Se, a New York culinary landmark by Thomas Keller, offers refined tasting menus with exceptional precision and luxury."
2005,8,Tom Aikens,London,United Kingdom,51.5072178,-0.1275862,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in London, United Kingdom."
2005,9,Jean Georges,New York,United States,40.7127753,-74.0059728,Contemporary American,"A distinguished restaurant offering contemporary american cuisine, known for its quality and culinary creativity in New York, United States."
2005,10,St John,London,United Kingdom,51.5072178,-0.1275862,Modern British / European,"A distinguished restaurant offering modern british / european cuisine, known for its quality and culinary creativity in London, United Kingdom."
2005,11,Bras,Laguiole,France,44.683579,2.845605,French,"A distinguished restaurant offering french cuisine, known for its quality and culinary creativity in Laguiole, France."
2005,12,Le Louis XV,Monaco,Monaco,43.7384176,7.42461579,International / Fusion,"A distinguished restaurant offering international / fusion cuisine, known for its quality and culinary creativity in Monaco, Monaco."
2005,13,Chez Panisse,Berkeley,United States,37.8715226,-122.273042,Contemporary American,"A distinguished restaurant offering contemporary american cuisine, known for its quality and culinary creativity in Berkeley, United States."
